App No.	Attorney	Case Ref	Client	Applicant name	Status
1-2021-05489	Nguyễn Ngọc Hà My	IP/PR10597	Spruson & Ferguson (Asia) Pte Ltd	CHINA PHARMACEUTICAL UNIVERSITY	Abandoned
1-2021-05701	Nguyễn Thị Sao Mai	IP/PR10596	Spruson & Ferguson (Asia) Pte Ltd	Midwestern University	Abandoned
1-2021-05697	Lã Quỳnh Nga	IP/PR10595	VIDON BREVETS & STRATÉGIE	ORANGE	Registered
1-2021-05563	Lê Thị Hồng	IP/PR10594	Spruson & Ferguson (Asia) Pte Ltd	ZTE CORPORATION	Registered
1-2021-05615	Lê Thị Hồng	IP/PR10593	Spruson & Ferguson (Asia) Pte Ltd	ZTE CORPORATION	Registered
1-2021-05287	Nguyễn Thùy Linh	IP/PR10592	Spruson & Ferguson (Asia) Pte Ltd	Techtronic Cordless GP	Abandoned
1-2021-05698	Nguyễn Ngọc Yến	IP/PR10591	Yuasa and Hara	SUNTORY HOLDINGS LIMITED	Registered
1-2021-05567	Phạm Thị Cúc - IP	IP/PR10590	Spruson & Ferguson (Asia) Pte Ltd	NOKIA TECHNOLOGIES OY	Registered
1-2021-05220	Ngô Thị Phương Hoa	IP/PR10589/DV	Spruson & Ferguson (Asia) Pte Ltd	GILEAD SCIENCES, INC.	Abandoned
1-2021-05893	Nguyễn Thị Thanh Hoài	IP/PR10588	Yuasa and Hara	SUNTORY HOLDINGS LIMITED	Registered
1-2021-06041	Nguyễn Thị Sao Mai	IP/PR10587	Spruson & Ferguson (Asia) Pte Ltd	FRIESLANDCAMPINA NEDERLAND B.V.	Registered
1-2021-06277	Nguyễn Ngọc Hà My	IP/PR10586	Spruson & Ferguson (Asia) Pte Ltd	Janssen Sciences Ireland Unlimited Company	Withdrawn
1-2021-05659	Nguyễn Hậu Sinh	IP/PR10585	FPA Patent Attorneys	Denali Therapeutics Inc.	Abandoned
1-2021-06600	Nguyễn Vũ Nam	IP/PR10584	Shinjuku Central Patent Agency	SMC CORPORATION	Registered
1-2021-06832	Lã Thị Bích Ngọc	IP/PR10583	SHOOK, HARDY & BACON, LLP	NIKE INNOVATE C.V.	Abandoned
1-2021-05831	Nguyễn Phi Long	IP/PR10582	HUAWEI TECHNOLOGIES CO., LTD.	HUAWEI TECHNOLOGIES CO., LTD.	Registered
1-2021-07501	Trần Thị Thanh Giang	IP/PR10581	KORYO IP & LAW	SAMSUNG DISPLAY CO., LTD. 	Registered
1-2021-05761	Phạm Thị Cúc - IP	IP/PR10580	Y.P. Lee, Mock & Partners	SAMSUNG ELECTRONICS CO., LTD.	Allowed
1-2021-05700	Trần Thị Hà	IP/PR10579	Spruson & Ferguson (Asia) Pte Ltd	JUUL LABS, INC.	Registered
1-2021-06632	Nguyễn Thị Sao Mai	IP/PR10578	WisePlus IP Firm	SUNTORY HOLDINGS LIMITED	Abandoned
1-2021-05326	Nguyễn Vũ Nam	IP/PR10577/DV9	Maru Intellectual Property Law	ELECTRONICS AND TELECOMMUNICATIONS RESEARCH INSTITUTE	Examined
1-2021-05324	Nguyễn Vũ Nam	IP/PR10576/DV8	Maru Intellectual Property Law	ELECTRONICS AND TELECOMMUNICATIONS RESEARCH INSTITUTE	Allowed
1-2021-05323	Nguyễn Vũ Nam	IP/PR10575/DV7	Maru Intellectual Property Law	ELECTRONICS AND TELECOMMUNICATIONS RESEARCH INSTITUTE	Registered
1-2021-05322	Nguyễn Vũ Nam	IP/PR10574/DV6	Maru Intellectual Property Law	ELECTRONICS AND TELECOMMUNICATIONS RESEARCH INSTITUTE	Registered
1-2021-05321	Nguyễn Vũ Nam	IP/PR10573/DV5	Maru Intellectual Property Law	ELECTRONICS AND TELECOMMUNICATIONS RESEARCH INSTITUTE	Registered
1-2021-05320	Nguyễn Vũ Nam	IP/PR10572/DV4	Maru Intellectual Property Law	ELECTRONICS AND TELECOMMUNICATIONS RESEARCH INSTITUTE	Registered
1-2021-05319	Nguyễn Vũ Nam	IP/PR10571/DV3	Maru Intellectual Property Law	ELECTRONICS AND TELECOMMUNICATIONS RESEARCH INSTITUTE	Registered
1-2021-05330	Nguyễn Vũ Nam	IP/PR10570/DV2	Maru Intellectual Property Law	ELECTRONICS AND TELECOMMUNICATIONS RESEARCH INSTITUTE	Requested
1-2021-05328	Nguyễn Vũ Nam	IP/PR10569/DV1	Maru Intellectual Property Law	ELECTRONICS AND TELECOMMUNICATIONS RESEARCH INSTITUTE	Allowed
1-2021-05699	Ngô Thị Phương Hoa	IP/PR10568	Spruson & Ferguson (Asia) Pte Ltd	JANSSEN PHARMACEUTICA NV	Abandoned
1-2021-07870	Nguyễn Phi Long	IP/PR10567	Y.P. Lee, Mock & Partners	Samsung Display Co., Ltd.	Examined
1-2021-05155	Nguyễn Thị Sao Mai	IP/PR10566	Spruson & Ferguson (Asia) Pte Ltd	The Roskamp Institute	Registered
1-2021-05696	Nguyễn Thùy Linh	IP/PR10565	HUAWEI TECHNOLOGIES CO., LTD.	HUAWEI TECHNOLOGIES CO., LTD.	Registered
1-2021-05587	Nguyễn Thị Thái	IP/PR10564	HUAWEI TECHNOLOGIES CO., LTD.	HUAWEI TECHNOLOGIES CO., LTD.	Registered
1-2021-05290	Lã Quỳnh Nga	IP/PR10563	Spruson & Ferguson (Asia) Pte Ltd	Nokia Technologies Oy	Registered
1-2022-00703	Lê Thị Hồng	IP/PR10562	SHIN & KIM LLC	Samsung Display Co., Ltd.	Examined
1-2021-05729	Trần Thị Thanh Giang	IP/PR10561	YUN Intellectual Property Law	"ELECTRONICS AND TELECOMMUNICATIONS RESEARCH INSTITUTE
 UNIVERSITY-INDUSTRY COOPERATION GROUP OF KYUNG HEE UNIVERSITY"	Registered
1-2021-06405	Ngô Thị Phương Hoa	IP/PR10560	SONODA & KOBAYASHI INTELLECTUAL PROPERTY LAW	POLYPLASTICS CO., LTD.	Registered
1-2021-05586	Nguyễn Thị Thái	IP/PR10559	HUAWEI TECHNOLOGIES CO., LTD.	HUAWEI TECHNOLOGIES CO., LTD.	Registered
1-2021-05727	Trần Thị Thanh Giang	IP/PR10558	Spruson & Ferguson (Asia) Pte Ltd	GIKEN LTD.	Registered
1-2021-05530	Lê Quang Hải	IP/PR10557	Chang Tsi & Partners	Addest Technovation Pte Ltd	Registered
1-2021-05584	Nguyễn Vũ Nam	IP/PR10556	Spruson & Ferguson (Asia) Pte Ltd	Senju Metal Industry Co., Ltd.	Registered
1-2021-05151	Ngô Thu Hà	IP/PR10555	Cooley LLP	HANMI PHARM. CO., LTD. 	Abandoned
1-2021-05763	Nguyễn Thị Thanh Hoài	IP/PR10554	Spruson & Ferguson (Asia) Pte Ltd	Janssen Pharmaceutica NV	Withdrawn
1-2021-06129	Nguyễn Thị Sao Mai	IP/PR10553	WisePlus IP Firm	DAIKIN INDUSTRIES, LTD.	Registered
1-2021-06471	Nguyễn Ngọc Yến	IP/PR10552	Spruson & Ferguson (Asia) Pte Ltd	"CALICO LIFE SCIENCES LLC
 ABBVIE INC. "	Registered
1-2021-05732	Nguyễn Thị Thái	IP/PR10551	Pizzeys Patent and Trademark Attorneys	RESONADO, INC.	Abandoned
1-2021-06195	Nguyễn Vũ Nam	IP/PR10550	STUDIO TORTA S.p.A.	SACMI FORNI & FILTER S.P.A.	Registered
1-2021-06508	Lã Thị Bích Ngọc	IP/PR10549	SHOOK, HARDY & BACON, LLP	NIKE INNOVATE C.V.	Abandoned
1-2021-06010	Lê Trung Hiếu	IP/PR10548	MESSER SE & CO. KGAA	Messer SE & Co. KGaA	Registered
1-2016-03627	Nguyễn Ngọc Hà My	IP/PR10547/CDD	Spruson & Ferguson (Asia) Pte Ltd	"INDIANA UNIVERSITY RESEARCH AND TECHNOLOGY CORPORATION
 ASSEMBLY BIOSCIENCES, INC."	Abandoned
1-2021-05018	Phạm Thị Cúc - IP	IP/PR10546/DV	Y.P. Lee, Mock & Partners	SAMSUNG ELECTRONICS CO., LTD.	Registered
1-2021-06042	Lê Quang Hải	IP/PR10545	Merchant & Gould P.C.	HUMAX CO., LTD.	Registered
1-2021-05079	Ngô Thu Hà	IP/PR10544	Viering, Jentschura & Partner LLP	"JIANGSU HENGRUI MEDICINE CO., LTD.
 SHANGHAI HENGRUI PHARMACEUTICAL CO., LTD."	Withdrawn
1-2021-05052	Phạm Thị Cúc - IP	IP/PR10543/DV2	Maru Intellectual Property Law	ELECTRONICS AND TELECOMMUNICATIONS RESEARCH INSTITUTE	Registered
1-2021-05053	Phạm Thị Cúc - IP	IP/PR10542/DV1	Maru Intellectual Property Law	ELECTRONICS AND TELECOMMUNICATIONS RESEARCH INSTITUTE	Registered
1-2021-06156	Lã Quỳnh Nga	IP/PR10541	Spruson & Ferguson (Asia) Pte Ltd	MEIJI CO., LTD.	Registered
1-2021-05017	Nguyễn Thị Thanh Hoài	IP/PR10540	Spruson & Ferguson (Asia) Pte Ltd	KEMIN INDUSTRIES, INC. 	Abandoned
1-2021-05352	Nguyễn Phi Long	IP/PR10539	Spruson & Ferguson (Asia) Pte Ltd	Nokia Technologies Oy	Registered
1-2021-05661	Bùi Văn Cường	IP/PR10538	Spruson & Ferguson (Asia) Pte Ltd	HALDOR TOPSØE A/S	Abandoned
1-2021-05055	Nguyễn Hoàng Anh	IP/PR10537/DV	Banner & Witcoff, Ltd.	NIKE INNOVATE C.V.	Abandoned
1-2021-05731	Nguyễn Ngọc Yến	IP/PR10536	Spruson & Ferguson (Asia) Pte Ltd	HALDOR TOPSØE A/S	Abandoned
1-2021-05532	Nguyễn Thùy Linh	IP/PR10535	Lee and Li	KING STEEL MACHINERY CO., LTD.	Registered
1-2022-00018	Lã Quỳnh Nga	IP/PR10534	SHIN & KIM LLC	Samsung Display Co., Ltd.	Registered
	Lê Nguyệt Hạ Phượng	IP/PR10533/LA	Spruson & Ferguson (Asia) Pte Ltd	LES LABORATOIRES SERVIER SAS	
1-2021-05355	Lê Trung Hiếu	IP/PR10532	Dana Patent Law Firm	GTSCIEN CO., LTD.	Registered
1-2021-05325	Lê Trung Hiếu	IP/PR10531	Dana Patent Law Firm	GTSCIEN CO., LTD.	Registered
1-2021-05588	Nguyễn Thị Thái	IP/PR10530	HUAWEI TECHNOLOGIES CO., LTD.	HUAWEI TECHNOLOGIES CO., LTD.	Registered
1-2021-05800	Lê Quang Hải	IP/PR10529	Merchant & Gould P.C.	HUMAX CO., LTD.	Registered
1-2021-05019	Nguyễn Thu Trang	IP/PR10528/DV	Hiraki & Associates	HOUSE FOODS GROUP INC. 	Registered
1-2021-05566	Lê Nguyệt Hạ Phượng	IP/PR10527	FPA Patent Attorneys	DENALI THERAPEUTICS INC. 	Abandoned
1-2021-07503	Trần Thị Thanh Giang	IP/PR10526	KORYO IP & LAW	Samsung Display Co., Ltd.	Allowed
1-2021-05491	Trần Thị Hà	IP/PR10525	MUHANN Patent & Law Firm	MINTIT CO., LTD. 	Abandoned
1-2021-05446	Nguyễn Phi Long	IP/PR10524	Spruson & Ferguson (Asia) Pte Ltd	WestRock Packaging Systems, LLC 	Allowed
1-2021-04984	Nguyễn Thị Sao Mai	IP/PR10523	Spruson & Ferguson (Asia) Pte Ltd	LES LABORATOIRES SERVIER SAS	Abandoned
1-2021-07270	Nguyễn Hoàng Anh	IP/PR10522	Kisa Patent & Trademark Firm	MITSUBISHI ELECTRIC CORPORATION	Registered
1-2021-05078	Nguyễn Hậu Sinh	IP/PR10521	P&P Patent Law firm	LG CHEM, LTD.	Registered
1-2021-05077	Nguyễn Thu Trang	IP/PR10520	P&P Patent Law firm	LG CHEM, LTD.	Registered
1-2021-06965	Nguyễn Ngọc Hà My	IP/PR10519	Yuasa and Hara	SUNTORY HOLDINGS LIMITED	Registered
	Phạm Phan Anh	IP/PR10518	Ella Cheong LLC	WADDINGTON NORTH AMERICA, INC.	Abandoned
1-2021-04932	Phạm Thị Cúc - IP	IP/PR10517/DV4	Y.P. Lee, Mock & Partners	SAMSUNG ELECTRONICS CO., LTD.	Registered
1-2021-04935	Phạm Thị Cúc - IP	IP/PR10516/DV3	Y.P. Lee, Mock & Partners	SAMSUNG ELECTRONICS CO., LTD.	Registered
1-2021-04934	Phạm Thị Cúc - IP	IP/PR10515/DV2	Y.P. Lee, Mock & Partners	SAMSUNG ELECTRONICS CO., LTD.	Registered
1-2021-04933	Phạm Thị Cúc - IP	IP/PR10514/DV1	Y.P. Lee, Mock & Partners	SAMSUNG ELECTRONICS CO., LTD.	Examined
1-2021-06599	Nguyễn Thị Thanh Hoài	IP/PR10513	YOU ME PATENT & LAW FIRM	LG CHEM, LTD. 	Registered
1-2021-07217	Lê Thị Hồng	IP/PR10512	KASAN IP & LAW FIRM	Samsung Display Co., Ltd.	Registered
2-2021-00324	Nguyễn Thị Thái	IP/PR10511	King & Wood	Techtronic Cordless GP	Registered
1-2021-05153	Ngô Thị Phương Hoa	IP/PR10510	ORANGE	ORANGE	Registered
1-2021-05123	Ngô Thu Hà	IP/PR10509	IPPLUS Patent Office	Guangzhou NeoGene Thermal Management Technology Co., Ltd.	Registered
1-2021-06194	Nguyễn Hoàng Anh	IP/PR10508	S. SOGA & CO. Patent & Trademarks	MITSUBISHI ELECTRIC CORPORATION	Registered
1-2021-05101	Trần Thị Hà	IP/PR10507	Yusarn Audrey LLC	EMFI INTERNATIONAL PTE. LTD.	Abandoned
1-2021-07038	Lê Trung Hiếu	IP/PR10506	KASAN IP & LAW FIRM	SAMSUNG DISPLAY CO., LTD. 	Allowed
1-2021-05795	Lã Thị Bích Ngọc	IP/PR10505	YOU ME PATENT & LAW FIRM	KOLON INDUSTRIES, INC. 	Registered
1-2021-05529	Lã Quỳnh Nga	IP/PR10504	YOU ME PATENT & LAW FIRM	KOREA AVIATION LIGHT CO., LTD.	Registered
1-2021-05225	Nguyễn Thu Trang	IP/PR10503	Yusarn Audrey LLC	CHIA TAI TIANQING PHARMACEUTICAL GROUP CO., LTD.	Registered
1-2021-05442	Ngô Thu Hà	IP/PR10502	Spruson & Ferguson (Asia) Pte Ltd	RADIUS PHARMACEUTICALS, INC. 	Allowed
1-2021-04962	Nguyễn Thị Mỹ Hương	IP/PR10501	JWIP & Patent Services, LLC	"NIVOROZHKIN, Alex
 ARIELIUM HEALTH, LLC"	Abandoned
1-2021-05694	Lê Nguyệt Hạ Phượng	IP/PR10500	FPA Patent Attorneys	EDITAS MEDICINE, INC. 	Abandoned
1-2021-04873	Lã Thị Bích Ngọc	IP/PR10499	Spruson & Ferguson (Asia) Pte Ltd	MACDERMID ENTHONE INC.	Withdrawn
1-2021-06751	Nguyễn Thùy Dương	IP/PR10498	WisePlus IP Firm	SUNTORY HOLDINGS LIMITED	Withdrawn
1-2021-05568	Nguyễn Ngọc Hà My	IP/PR10497	PRINS Intellectual Property AG	ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE (EPFL) 	Registered
1-2021-05492	Lê Trung Hiếu	IP/PR10496	21st Century Patent & Law Firm	KOREA INSTITUTE OF MACHINERY & MATERIALS	Registered
1-2021-04870	Nguyễn Thùy Dương	IP/PR10495	Spruson & Ferguson (Asia) Pte Ltd	DYNO NOBEL ASIA PACIFIC PTY LIMITED 	Registered
1-2021-04980	Trần Thị Hà	IP/PR10494	Spruson & Ferguson (Asia) Pte Ltd	ZTE CORPORATION	Registered
1-2021-06355	Ngô Thu Hà	IP/PR10493	IPPLUS Patent Office	Guangzhou NeoGene Thermal Management Technology Co., Ltd.	Registered
1-2021-07770	Lê Thị Hồng	IP/PR10492	Tập đoàn Vingroup - Công ty CP	CÔNG TY CỔ PHẦN NGHIÊN CỨU VÀ ỨNG DỤNG TRÍ TUỆ NHÂN TẠO VINAI	Abandoned
1-2021-06477	Phạm Thị Cúc - IP	IP/PR10491	CÔNG TY CỔ PHẦN NGHIÊN CỨU VÀ ỨNG DỤNG TRÍ TUỆ NHÂN TẠO VINAI	CÔNG TY CỔ PHẦN NGHIÊN CỨU VÀ ỨNG DỤNG TRÍ TUỆ NHÂN TẠO VINAI	Abandoned
1-2021-06510	Nguyễn Thị Thái	IP/PR10490	Tập đoàn Vingroup - Công ty CP	CÔNG TY CỔ PHẦN NGHIÊN CỨU VÀ ỨNG DỤNG TRÍ TUỆ NHÂN TẠO VINAI	Abandoned
1-2021-06479	Nguyễn Thị Thái	IP/PR10489	CÔNG TY CỔ PHẦN NGHIÊN CỨU VÀ ỨNG DỤNG TRÍ TUỆ NHÂN TẠO VINAI	CÔNG TY CỔ PHẦN NGHIÊN CỨU VÀ ỨNG DỤNG TRÍ TUỆ NHÂN TẠO VINAI	Abandoned
1-2021-06831	Nguyễn Thùy Linh	IP/PR10488	CÔNG TY CỔ PHẦN NGHIÊN CỨU VÀ ỨNG DỤNG TRÍ TUỆ NHÂN TẠO VINAI	CÔNG TY CỔ PHẦN NGHIÊN CỨU VÀ ỨNG DỤNG TRÍ TUỆ NHÂN TẠO VINAI	Abandoned
1-2021-06252	Trần Thị Thanh Giang	IP/PR10487	CÔNG TY CỔ PHẦN NGHIÊN CỨU VÀ ỨNG DỤNG TRÍ TUỆ NHÂN TẠO VINAI	CÔNG TY CỔ PHẦN NGHIÊN CỨU VÀ ỨNG DỤNG TRÍ TUỆ NHÂN TẠO VINAI	Abandoned
1-2021-07145	Nguyễn Phi Long	IP/PR10486	Tập đoàn Vingroup - Công ty CP	CÔNG TY CỔ PHẦN NGHIÊN CỨU VÀ ỨNG DỤNG TRÍ TUỆ NHÂN TẠO VINAI	Abandoned
1-2022-00276	Nguyễn Thị Thái	IP/PR10485	CÔNG TY CỔ PHẦN NGHIÊN CỨU VÀ ỨNG DỤNG TRÍ TUỆ NHÂN TẠO VINAI	CÔNG TY CỔ PHẦN NGHIÊN CỨU VÀ ỨNG DỤNG TRÍ TUỆ NHÂN TẠO VINAI	Abandoned
1-2021-05226	Lê Quang Hải	IP/PR10484	YUIL HIGHEST INTERNATIONAL PATENT AND LAW FIRM	E-INTELLIGENCE CO., LTD.	Abandoned
1-2021-04846	Nguyễn Hoàng Anh	IP/PR10483/DV	SHOOK, HARDY & BACON, LLP	NIKE INNOVATE C.V. 	Abandoned
1-2021-04848	Nguyễn Hoàng Anh	IP/PR10482/DV	SHOOK, HARDY & BACON, LLP	NIKE Innovate C.V.	Abandoned
1-2021-05223	Nguyễn Thị Sao Mai	IP/PR10481	Pizzeys Patent and Trademark Attorneys	THE BRIGHAM AND WOMEN'S HOSPITAL, INC.	Registered
1-2021-07536	Nguyễn Hoàng Anh	IP/PR10480	CÔNG TY CỔ PHẦN NGHIÊN CỨU VÀ ỨNG DỤNG TRÍ TUỆ NHÂN TẠO VINAI	CÔNG TY CỔ PHẦN NGHIÊN CỨU VÀ ỨNG DỤNG TRÍ TUỆ NHÂN TẠO VINAI	Abandoned
1-2021-04937	Lê Nguyệt Hạ Phượng	IP/PR10479	P&P Patent Law firm	LG CHEM, LTD.	Registered
1-2021-04978	Lê Trung Hiếu	IP/PR10478	Dana Patent Law Firm	STI CO., LTD. 	Registered
1-2021-06750	Trần Thị Hà	IP/PR10477	CÔNG TY CỔ PHẦN NGHIÊN CỨU VÀ ỨNG DỤNG TRÍ TUỆ NHÂN TẠO VINAI	CÔNG TY CỔ PHẦN NGHIÊN CỨU VÀ ỨNG DỤNG TRÍ TUỆ NHÂN TẠO VINAI	Abandoned
1-2022-04491	Lã Quỳnh Nga	IP/PR10476	CÔNG TY CỔ PHẦN NGHIÊN CỨU VÀ ỨNG DỤNG TRÍ TUỆ NHÂN TẠO VINAI	CÔNG TY CỔ PHẦN NGHIÊN CỨU VÀ ỨNG DỤNG TRÍ TUỆ NHÂN TẠO VINAI	Abandoned
1-2021-07144	Nguyễn Phi Long	IP/PR10475	CÔNG TY CỔ PHẦN NGHIÊN CỨU VÀ ỨNG DỤNG TRÍ TUỆ NHÂN TẠO VINAI	CÔNG TY CỔ PHẦN NGHIÊN CỨU VÀ ỨNG DỤNG TRÍ TUỆ NHÂN TẠO VINAI	Abandoned
1-2021-04979	Lê Trung Hiếu	IP/PR10474	Dana Patent Law Firm	STI CO., LTD. 	Registered
1-2021-04907	Ngô Thu Hà	IP/PR10473	IPPLUS Patent Office	Guangzhou NeoGene Thermal Management Technology Co., Ltd.	Abandoned
1-2021-05285	Phạm Thị Cúc - IP	IP/PR10472	Spruson & Ferguson (Asia) Pte Ltd	NOKIA TECHNOLOGIES OY	Registered
1-2021-07419	Nguyễn Ngọc Hà My	IP/PR10471	FUKUSHIMA PATENT FIRM	OAT Agrio Co., Ltd.	Registered
1-2021-05125	Trần Thị Thanh Giang	IP/PR10470	Spruson & Ferguson (Asia) Pte Ltd	POCAI, Ricardo	Withdrawn
1-2021-05829	Nguyễn Hoàng Anh	IP/PR10469	SAKAI INTERNATIONAL PATENT OFFICE	MITSUBISHI ELECTRIC CORPORATION	Registered
1-2021-04690	Phạm Thị Cúc - IP	IP/PR10468	Spruson & Ferguson (Asia) Pte Ltd	Nokia Technologies Oy 	Registered
1-2021-05329	Nguyễn Thị Sao Mai	IP/PR10467	Spruson & Ferguson (Asia) Pte Ltd	HUYABIO International, LLC	Registered
1-2021-04752	Nguyễn Phi Long	IP/PR10466	Spruson & Ferguson (Asia) Pte Ltd	DAEYOUNG CHAEVI CO., LTD.	Abandoned
1-2021-05156	Nguyễn Thị Thái	IP/PR10465	HUAWEI TECHNOLOGIES CO., LTD.	HUAWEI TECHNOLOGIES CO., LTD.	Abandoned
1-2021-04755	Nguyễn Phi Long	IP/PR10464	Spruson & Ferguson (Asia) Pte Ltd	DAEYOUNG CHAEVI CO., LTD.	Abandoned
1-2021-07087	Lê Quang Hải	IP/PR10463	Tập đoàn Vingroup - Công ty CP	CÔNG TY CỔ PHẦN NGHIÊN CỨU VÀ ỨNG DỤNG TRÍ TUỆ NHÂN TẠO VINAI	Abandoned
1-2021-05248	Lã Thị Bích Ngọc	IP/PR10462	Spruson & Ferguson (Asia) Pte Ltd	INCYTE CORPORATION	Registered
1-2021-04754	Nguyễn Phi Long	IP/PR10461	Spruson & Ferguson (Asia) Pte Ltd	DAEYOUNG CHAEVI CO., LTD.	Abandoned
1-2021-06473	Trần Thị Thanh Giang	IP/PR10460	MAEDA & PARTNERS	DAIKIN INDUSTRIES, LTD.	Registered
1-2021-05612	Lê Quang Hải	IP/PR10459	DCC Advanz Malaysia Sdn Bhd	ASHLEY FURNITURE INDUSTRIES, LLC 	Registered
1-2021-04961	Nguyễn Thị Thanh Hoài	IP/PR10458	Spruson & Ferguson (Asia) Pte Ltd	Ascendis Pharma Bone Diseases A/S	Registered
1-2021-05175	Nguyễn Thị Mỹ Hương	IP/PR10457	Spruson & Ferguson (Asia) Pte Ltd	Frieslandcampina Nederland B.V.	Registered
1-2021-07269	Nguyễn Xuân Sáng	IP/PR10456	SHIN & KIM LLC	Samsung Display Co., Ltd.	Registered
1-2021-05286	Nguyễn Hậu Sinh	IP/PR10455	FPA Patent Attorneys	Scholar Rock, Inc.	Withdrawn
1-2021-06230	Lê Nguyệt Hạ Phượng	IP/PR10454	Sino-Creativity Intellectual Property Law Firm	CHENGDU 401 TECHNOLOGY CO., LTD	Withdrawn
1-2021-05150	Nguyễn Thị Mỹ Hương	IP/PR10453	WOOD & WU Patent and Trademark Office	EVERLIGHT CHEMICAL INDUSTRIAL CORPORATION	Registered
1-2021-07576	Phạm Thị Cúc - IP	IP/PR10452	CÔNG TY CỔ PHẦN NGHIÊN CỨU VÀ ỨNG DỤNG TRÍ TUỆ NHÂN TẠO VINAI	CÔNG TY CỔ PHẦN NGHIÊN CỨU VÀ ỨNG DỤNG TRÍ TUỆ NHÂN TẠO VINAI	Abandoned
1-2021-07617	Trần Thị Hà	IP/PR10451	Tập đoàn Vingroup - Công ty CP	CÔNG TY CỔ PHẦN NGHIÊN CỨU VÀ ỨNG DỤNG TRÍ TUỆ NHÂN TẠO VINAI	Withdrawn
1-2021-06315	Nguyễn Thị Thái	IP/PR10450	CÔNG TY CỔ PHẦN NGHIÊN CỨU VÀ ỨNG DỤNG TRÍ TUỆ NHÂN TẠO VINAI	CÔNG TY CỔ PHẦN NGHIÊN CỨU VÀ ỨNG DỤNG TRÍ TUỆ NHÂN TẠO VINAI	Abandoned
1-2021-07928	Lê Quang Hải	IP/PR10449	Tập đoàn Vingroup - Công ty CP	CÔNG TY CỔ PHẦN NGHIÊN CỨU VÀ ỨNG DỤNG TRÍ TUỆ NHÂN TẠO VINAI	Abandoned
1-2021-04753	Nguyễn Hậu Sinh	IP/PR10448	Spruson & Ferguson (Asia) Pte Ltd	ADAMA MAKHTESHIM LTD.	Abandoned
1-2021-05892	Lã Quỳnh Nga	IP/PR10447	BAE, KIM & LEE IP	LG CHEM, LTD.	Registered
1-2021-05891	Lã Quỳnh Nga	IP/PR10446	BAE, KIM & LEE IP	LG CHEM, LTD.	Registered
1-2021-05565	Nguyễn Thị Thái	IP/PR10445	HANGANG IP Law Firm	INNOVATIVE TECHNOLOGY LAB CO., LTD.	Registered
1-2021-01785	Lê Nguyệt Hạ Phượng	IP/PR10444/CDD	Pizzeys Patent and Trademark Attorneys	AVALON HEPAPOC LIMITED	Abandoned
1-2021-04841	Lã Thị Bích Ngọc	IP/PR10443	Spruson & Ferguson (Asia) Pte Ltd	Ascendis Pharma Growth Disorders A/S	Registered
1-2021-05222	Ngô Thị Phương Hoa	IP/PR10442	Spruson & Ferguson (Asia) Pte Ltd	Skinprotect Corporation Sdn Bhd	Registered
1-2021-04641		IP/PR10441/DV	Spruson & Ferguson (Asia) Pte Ltd	"VIB VZW
 UNIVERSITEIT GENT
 The United States of America, As Represented by the Secretary, Department of Health and Human Services
 TRUSTEES OF DARTMOUTH COLLEGE"	Abandoned
1-2021-06255	Nguyễn Thùy Dương	IP/PR10440	Dana Patent Law Firm	SHIN POONG METAL CO., LTD. 	Registered
1-2021-05152	Lã Quỳnh Nga	IP/PR10439	Spruson & Ferguson (Asia) Pte Ltd	MUL-T-LOCK TECHNOLOGIES LTD.	Registered
1-2021-04534	Nguyễn Vũ Nam	IP/PR10438	PONS IP, S.A.	UNIVERSIDAD DE SEVILLA	Registered
1-2021-05174	Nguyễn Hậu Sinh	IP/PR10437	Spruson & Ferguson (Asia) Pte Ltd	"HOJEON LIMITED
 SEOUL NATIONAL UNIVERSITY R&DB FOUNDATION."	Registered
1-2021-05054	Lã Quỳnh Nga	IP/PR10436	Shiga International Patent Office	MITSUBISHI HEAVY INDUSTRIES MACHINERY SYSTEMS, LTD.	Abandoned
1-2021-06197	Nguyễn Ngọc Hà My	IP/PR10435	Yuasa and Hara	SUNTORY HOLDINGS LIMITED	Withdrawn
1-2021-04576	Nguyễn Ngọc Yến	IP/PR10434/DV	Spruson & Ferguson (Asia) Pte Ltd	MACROGENICS, INC.	Registered
1-2021-05103	Nguyễn Thị Mỹ Hương	IP/PR10433	NV BEKAERT SA	NV BEKAERT SA	Registered
1-2021-05050	Nguyễn Hậu Sinh	IP/PR10432	Patrade A/S	SCEYE SA 	Registered
1-2021-06435	Nguyễn Ngọc Hà My	IP/PR10431	WisePlus IP Firm	SUNTORY HOLDINGS LIMITED	Withdrawn
1-2021-04458	Lê Nguyệt Hạ Phượng	IP/PR10430	Sascha Droste	DROSTE, Sascha	Allowed
1-2021-04574	Nguyễn Vũ Nam	IP/PR10429	WOOD & WU Patent and Trademark Office	Sanyang Motor Co., Ltd.	Abandoned
1-2021-07864	Nguyễn Thùy Linh	IP/PR10428	SHIN & KIM LLC	Samsung Display Co., Ltd.	Registered
2-2021-00305	Nguyễn Phi Long	IP/PR10427	Bilim Patent	ONIN, Mustafa	Abandoned
1-2021-06040	Nguyễn Thị Thái	IP/PR10426	Tập đoàn Vingroup - Công ty CP	CÔNG TY CỔ PHẦN VINBRAIN	Abandoned
